model,preset,pos_encoding,seed,steps,batch_size,seq_len,params,test_loss,test_ppl,test_bpc,test_acc,train_tok_s,wall_clock_s,min_half_life,max_half_life,max_prefix_error,device
resonator,balanced,learned,0,2000,32,256,6053648,1.200350690511317,3.3212814604220378,1.73173998852832,64.33193231719771,17629.342444561975,929.3596769999713,1.605614423751831,1526.392333984375,1.6689300537109375e-06,mps
transformer,balanced,learned,0,2000,32,256,6111960,1.223716823883306,3.399800739527207,1.7654501932688387,63.61610562193627,20375.006121590384,804.1224577910034,0.0,0.0,0.0,mps
