model,preset,pos_encoding,seed,steps,batch_size,seq_len,params,test_loss,test_ppl,test_bpc,test_acc,train_tok_s,wall_clock_s,min_half_life,max_half_life,max_prefix_error,device
resonator,balanced,learned,0,50,32,256,6053648,4.819316758049859,123.88042155752615,6.952804387311608,18.482402726715684,10279.986362641386,39.84441083390266,1.998121976852417,2046.925048828125,2.0265579223632812e-06,mps
transformer,balanced,learned,0,50,32,256,6111960,4.332684304979113,76.14841804876134,6.250742160530811,19.566514756944446,9013.549344014993,45.4426979169948,0.0,0.0,0.0,mps
