model,context,ppl,bpc,acc
Transformer (Learned PE - Paper),256,3.400740232466292,1.7658488091490672,63.60453686683007
Transformer (Learned PE - Paper),512,11.16930910002956,3.4814680426791633,41.53725617851307
Transformer (Learned PE - Paper),1024,20.000522946610225,4.321965817018259,30.014279014185856
Transformer (RoPE - Strong Baseline),256,3.210113377041392,1.6826242523652792,65.11493757659314
Transformer (RoPE - Strong Baseline),512,3.5364499840697428,1.8223018574448775,62.370110804738566
Transformer (RoPE - Strong Baseline),1024,5.588381747996063,2.4824305760675904,51.2546740080181
ResonatorLM (Paper Model),256,3.322316938846149,1.7321897085474212,64.32531020220588
ResonatorLM (Paper Model),512,3.300765394857361,1.7228006012372479,64.52221839256535
ResonatorLM (Paper Model),1024,3.292748516805624,1.7192923305145065,64.5730269582648
