half_life,amp_2048,energy_2048,amp_8192,energy_8192,amp_32768,energy_32768,amp_100000,energy_100000,amp_1000000,energy_1000000
2.0,5.562684646268003e-309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7.458340731200207e-155,5.562684646268003e-309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,2.938735877055719e-39,8.636168555094445e-78,7.458340731200207e-155,5.562684646268003e-309,0.0,0.0,0.0,0.0,0.0,0.0
64.0,2.3283064365386963e-10,5.421010862427522e-20,2.938735877055719e-39,8.636168555094445e-78,7.458340731200207e-155,5.562684646268003e-309,0.0,0.0,0.0,0.0
256.0,0.00390625,1.52587890625e-05,2.3283064365386963e-10,5.421010862427522e-20,2.938735877055719e-39,8.636168555094445e-78,2.5713307515895248e-118,6.61174183406995e-236,0.0,0.0
1024.0,0.25,0.0625,0.00390625,1.52587890625e-05,2.3283064365386963e-10,5.421010862427522e-20,4.004418747447449e-30,1.6035369504908594e-59,1.060217233803737e-294,0.0
2048.0,0.5,0.25,0.0625,0.00390625,1.52587890625e-05,2.3283064365386963e-10,2.001104381946991e-15,4.004418747447448e-30,1.0296685067553232e-147,1.0602172338037371e-294
